,temp565,temp665,temp765,temp865,temp965
steam_eff,0.40461372252582345,0.4046137226329457,0.404613723576783,0.4046137238235047,0.4046137231383219
Qs,-3477154.3000000007,-3477154.3000000007,-3477154.3000000007,-3477154.3000000007,-3477154.3000000007
P_out_net,530.970144304,530.970144304,530.970144304,530.970144304,530.970144304
F_salt,3854.6805,2814.95655,2209.819552,1811.9547819999998,1528.848458
deltaA,25.000689999999963,125.00068999999996,225.00069000000008,325.0006900000001,425.0006900000001
deltaB,139.39637700000003,211.234598,283.69911,357.08356100000003,431.85930599999995
deltaC,73.048945,120.77073900000005,169.1162660000001,218.33486000000005,268.8394790000001
deltaD,255.021656,255.01678400000003,255.02396099999999,255.00021000000004,255.00141200000007
Q1,379460609.0,379460609.0,379460609.0,379460609.0,379460609.0
Q2,316701620.0,316701620.0,316701620.0,316701620.0,316701620.0
Q3,616126791.0,616126791.0,616126791.0,616126791.0,616126791.0
flowsteamPeak,342.816162,342.816162,342.816162,342.816162,342.816162
coal_steam_eff,0.4046853922564896,0.4046853922564896,0.4046853922564896,0.4046853922564896,0.4046853922564896
target_pressure,0.0475,0.0475,0.0475,0.0475,0.0475
HP_input_T_MS,540.15,540.15,540.15,540.15,540.15
HP_output_T_MS,594.664442,594.664442,594.664442,594.664442,594.664442
HP_output_P_MS,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
IP_input_T_MS,813.15,813.15,813.15,813.15,813.15
IP_input_P_MS,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0
LP_input_T_MS,587.164046,587.164046,587.164046,587.164046,587.164046
LP_input_P_MS,700000.0,700000.0,700000.0,700000.0,700000.0
LP_output_T_MS,308.288639,308.288639,308.288639,308.288639,308.288639
LP_output_P_MS,4750.0,4750.0,4750.0,4750.0,4750.0
LP_vaporfraction_MS,0.901772176,0.901772176,0.901772176,0.901772176,0.901772176
HP_output_T_coal,321.5144,321.5144,321.5144,321.5144,321.5144
HP_output_P_coal,40.0,40.0,40.0,40.0,40.0
IP_input_T_coal,540.0,540.0,540.0,540.0,540.0
IP_input_P_coal,35.0,35.0,35.0,35.0,35.0
LP_input_T_coal,314.014046,314.014046,314.014046,314.014046,314.014046
LP_input_P_coal,7.0,7.0,7.0,7.0,7.0
LP_output_T_coal,35.1386392,35.1386392,35.1386392,35.1386392,35.1386392
LP_output_P_coal,0.0475,0.0475,0.0475,0.0475,0.0475
LP_vaporfraction_coal,0.901772176,0.901772176,0.901772176,0.901772176,0.901772176
coal_power_net,-531.064213,-531.064213,-531.064213,-531.064213,-531.064213
flowsteam_calibrated,342.816162,342.816162,342.816162,342.816162,342.816162
cold_salt_temp,290.17164,290.166788,290.17401600000005,290.15021,290.15141200000005
steam_peak_temp,540.15,540.15,540.15,540.15,540.15
lmtd_salt,97.0309556,160.295338,210.419241,256.245343,299.854955
UA,13524436.7,8186694.83,6236544.75,5121220.94,4376412.64
